<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HBC,20121029,2.4378,2.4378,2.3797,2.4184,39650
HBC,20121026,2.4378,2.4958,2.3991,2.3991,117440
HBC,20121025,2.4378,2.4571,2.3991,2.4378,50650
HBC,20121024,2.4378,2.4378,2.3991,2.4378,66070
HBC,20121023,2.4958,2.4958,2.3991,2.4184,73620
HBC,20121022,2.4378,2.5538,2.3991,2.3991,197110
HBC,20121019,2.5345,2.5925,2.4958,2.4958,133430
HBC,20121018,2.5732,2.6312,2.5732,2.6119,112740
HBC,20121017,2.6119,2.6506,2.5345,2.6119,156520
HBC,20121016,2.4571,2.5732,2.4571,2.5732,235300
HBC,20121015,2.5732,2.5925,2.4571,2.4571,151910
HBC,20121012,2.6312,2.6506,2.5732,2.5732,293100
HBC,20121011,2.7086,2.7280,2.6506,2.6893,297820
HBC,20121010,2.5538,2.6119,2.5151,2.6119,285890
HBC,20121009,2.4184,2.4958,2.3991,2.4958,189590
HBC,20121008,2.3217,2.3991,2.3217,2.3797,50570
HBC,20121005,2.3410,2.3604,2.3217,2.3410,41600
HBC,20121004,2.3217,2.3604,2.3217,2.3410,28950
HBC,20121003,2.3410,2.3604,2.3023,2.3604,16420
HBC,20121002,2.3410,2.3797,2.2830,2.3217,49260
HBC,20121001,2.4184,2.4378,2.3604,2.3797,54180
HBC,20120928,2.3604,2.4571,2.3604,2.4571,95900
HBC,20120927,2.3991,2.4184,2.3604,2.3991,59800
HBC,20120926,2.3797,2.3991,2.3217,2.3991,76800
HBC,20120925,2.3604,2.3797,2.3217,2.3410,22160
HBC,20120924,2.3797,2.3797,2.2830,2.3410,42970
HBC,20120921,2.3217,2.3797,2.3217,2.3604,61390
HBC,20120920,2.3217,2.3410,2.2636,2.3023,122790
HBC,20120919,2.3410,2.3991,2.3410,2.3797,69340
HBC,20120918,2.4765,2.4958,2.3797,2.3991,80340
HBC,20120917,2.5151,2.5538,2.4765,2.4765,61380
HBC,20120914,2.4958,2.5538,2.4958,2.5345,93440
HBC,20120913,2.3991,2.4765,2.3991,2.4571,83020
HBC,20120912,2.4184,2.5345,2.4184,2.4378,66780
HBC,20120911,2.4184,2.4958,2.4184,2.4571,79660
HBC,20120910,2.5538,2.5538,2.4571,2.4765,395970
HBC,20120907,2.6312,2.6312,2.5538,2.5732,138440
HBC,20120906,2.6312,2.6506,2.5925,2.6119,74370
HBC,20120905,2.6893,2.6893,2.6119,2.6506,102370
HBC,20120904,2.7280,2.7667,2.6893,2.6893,71360
HBC,20120831,2.7280,2.7860,2.6893,2.7086,72120
HBC,20120830,2.7860,2.8054,2.7086,2.7860,78980
HBC,20120829,2.7473,2.7860,2.6893,2.7860,95750
HBC,20120828,2.7086,2.7086,2.6119,2.6699,80110
HBC,20120827,2.8441,2.8441,2.7086,2.7086,213400
HBC,20120824,2.5732,2.8441,2.5732,2.8441,465430
HBC,20120823,2.7280,2.7473,2.7086,2.7086,199810
HBC,20120822,2.8634,2.9795,2.8441,2.8441,408440
